Unnamed: 0,Title,Price,Rating,Review Count,Description,Image_url,Department
11,Playtex Women's 18 Hour Active Breathable Comfort Wireless Bra Full Coverage Bra Smoothing Support,17.99,4.0,28045,"FOR WORKOUTS OR WORKDAYS - Designed for light-to-moderate workouts but comfy enough for the rest of your day.. HELPING YOU KEEP YOUR COOL - Cool Comfort moisture-wicking cups, an inner cooling band, and lightweight fabric for cool comfort all day long.. FAMOUS M-FRAME DESIGN - Flexibly supporting women in comfort for decades.. SUPERB WIRELESS SUPPORT - 4-way TruSUPPORT system provides higher sides for bulge control, fuller cups for natural shaping, wider, cushioned straps for all-day ease, and a smoother back for enhanced stability.. COMFORT EVERYWHERE - From the stretch sides and back to the soft-touch under band to the extra-wide, cushioned, no-slip straps that help to relieve shoulder strain.. THE BRA THAT DOES A DISAPPEARING ACT - Silky-smooth cups hide under tees and clingy clothes.. ",https://m.media-amazon.com/images/I/81ge1cTO7bL.__AC_SY445_SX342_QL70_ML2_.jpg,Girl Clothes
8,Real Essentials 5 Pack: Women's Short Sleeve V-Neck Activewear T-Shirt Dry-Fit Wicking Yoga Top (Available in Plus),34.99,4.5,24443,"Available In Both Regular & Plus Sizing,The Ideal V-Neck Short Sleeve Active Top for Yoga, Exercise, Fitness, Gym, Running, Any Type Of Workout Or Everyday Casual Use.. Providing four-way stretch, Dry-Fit sweat wicking fabric with bound edges and interlock seams, you won’t experience any chafing or rubbing. Banded V Neckline And Tag-Free Neck Label Offers You Maximum Comfort.. Flex Fabric Fits Any Cup Size & Straight Hem Designed For Tucked in or Un-tucked Look. Pair perfectly with your pants, leggings, shorts, shirts for a cool everyday look, make you more beautiful, sexy and elegant.. ",https://m.media-amazon.com/images/I/71ORtaoC8KL.__AC_SY445_SX342_QL70_ML2_.jpg,Girl Clothes
3,Under Armour Womens Tech V-Neck Twist Short-Sleeve T-Shirt,24.99,4.5,19580,"UA Tech fabric is quick-drying, ultra-soft & has a more natural feel. Material wicks sweat & dries really fast. 4-way stretch construction moves better in every direction. Under Armour’s mission is simple: to make you better.. Deep V-neck collar & slimmer fit deliver a sleek, more feminine silhouette. ",https://m.media-amazon.com/images/I/51tyrHxKMFL.__AC_SY445_SX342_QL70_ML2_.jpg,Girl Clothes
20,Legendary Whitetails Womens Cottage Escape Flannel Long Sleeve Plaid and Solid Color Clothes Fitted Button Down,28.99,4.5,13874,"[Fit & Sizing]: Our Cottage Escape Flannel Shirt offers a comfortable and stylish fit for all body types designed to fit true to size; for those with a larger bust, or wearning as a second layer, consider ordering a size up for a relaxed fit. [Quality & Comfort]: Our Women's Cottage Escape Flannel Shirt is made with beautiful brushed mid-weight 100 % top-quality cotton flannel, this yarn-dyed shirt offers lasting rich colors that promise quality and comfort that is soft to-the-touch. [Brand Promise]: Once you try it, other shirts won't compare; this ladies' elegant women’s plaid shirt design stays true to its images, ensuring you get exactly what you see, quality and authenticity in every stitch. [Elegant Design]: Dive into the rich, deep colors and classic design of our flannel shirt, loved and appreciated by many; our flannel ensures vibrant colors that won't fade over time; chambray lined collar and cuffs add a stylish touch and durability. [Perfect Length & Versatile Fashion]: Our flannel shirt features a curved hemline covering the hips and bottom, ensuring you feel comfortable and fashionable; features signature Legendary buttons, a full front button closure, and twin chest pockets. ",https://m.media-amazon.com/images/I/91DzVesL00L.__AC_SY445_SX342_QL70_ML2_.jpg,Girl Clothes
4,PUMA Women's Seamless Sports Bra,26.2,4.5,12758,moisture wicking. adjustable straps. removable cups. active stretch. Item styling: Regular. ,https://m.media-amazon.com/images/I/61m6pUnGuzL.__AC_SY445_SX342_QL70_ML2_.jpg,Girl Clothes
18,Fruit of the Loom Women's Built Up Tank Style Sports Bra Value Pack,16.84,4.5,11379,2-ply stretch construction. Tank style. Full coverage. Tag-free for comfort. Pull over style. ,https://m.media-amazon.com/images/I/51m+lGd0yDL._AC_SY445_SX342_.jpg,Girl Clothes
17,Champion Women's Sports Bra Infinity Racerback Moderate Support Seamless Sports Bra for Women,19.89,4.5,10522,"SUPPORT LEVEL – Moderate support sports bra for women provides the perfect amount of support for jogging, gym workouts, and cycling.. THE FEEL - A soft sports bra with double layered fabric that supports without the squeeze. Racerback sports bra with fixed straps feels easy on skin. Great for moderate impact exercise.. THE SHAPE - This sports bra does not contain pads or cups.. THE CLOSURE - Classic pullover design for easy-on, easy-off changing.. DON’T SWEAT THE SWEAT - This women’s sports bra has Double Dry moisture-wicking technology to keep you dry during and after your workout. Meshed lined silhouette provides additional ventilation.. THE INFINITY BRA - A soft and seamless sports bra with moderate support and all-over stretch designed to help minimize chafing.. ",https://m.media-amazon.com/images/I/91Gi8EDoD7L.__AC_SY445_SX342_QL70_ML2_.jpg,Girl Clothes
51,Glamorise Women's Plus Size Hi-Impact Sports Bra Underwire #9066,32.8,4.0,7570,WONDERWIRE TECHNOLOGY: A padded underwire adds an extra layer of cushion to prevent wire poke.. SEAMLESS CUPS: Non-stretch double layer cups contain the bust securely.. MOISTURE WICKING: High-performing sweat-wicking fabrics keep you cool and dry.. EASY ON & OFF: Stay-in-place back with 3 column & 3 row hook-and-eye closure increases with size.. DESIGNED IN NEW YORK SINCE 1921: We have over 100 years experience crafting bras for curvy women.. ,https://m.media-amazon.com/images/I/8121pmHLi9L.__AC_SY445_SX342_QL70_ML2_.jpg,Girl Clothes
24,Nike Women's Victory Compression Sports Bra,38.0,4.5,6023,"COMPRESSION & SUPPORT: The Nike sports bra for women utilizes a snug compression fit, providing medium support for a variety of training activities.. RACERBACK DESIGN: Straps create stabilizing tension, helping to minimize bounce during multidirectional movement. The sports bras' racerback straps allow for a full range of motion.. JERSEY MATERIAL: The Nike sports bra has an outer body and inner lining made of jersey material. The sports bra pulls sweat away from the skin to keep you dry and comfortable.. COMFORTABLE FIT: The women's sports bra has an elastic encased chest band that feels soft against the skin and provides a secure and comfortable fit.. NIKE SPORTS BRA: Machine wash, imported, fabric: 88% polyester/12% spandex. Recommended for female athletes who wear an A, B, C or D bra cup size. There are no removable pads.. ",https://m.media-amazon.com/images/I/51+SKBZO7cL._AC_SX342_SY445_.jpg,Girl Clothes
54,Women's UPF 50+ Short Sleeved Active Swim Shirt Rashguard & Workout Top,18.56,4.5,3777,UPF 50+ Sun Protection. Loose-fitting swim tee featuring round neckline and short sleeves. Strecth Fabric. ,https://m.media-amazon.com/images/I/91gWoHEtUWL.__AC_SY445_SX342_QL70_ML2_.jpg,Girl Clothes
